                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5499,                 1.4134,                 1.4546,                0.83362,                0.72727,                0.76275,                0.44053,                  1.401,                 1.3704,                 1.4257,             0.00066231,             0.00066231,             0.00066231
                      2,                 1.5985,                 1.3619,                 1.5126,                0.70178,                0.62987,                0.66139,                0.29288,                 1.7641,                  1.728,                 1.7545,              0.0012851,              0.0012851,              0.0012851
                      3,                 1.6532,                 1.3824,                 1.5516,                0.63539,                0.57143,                0.60023,                0.26725,                 1.8047,                 1.5782,                 1.7084,              0.0018639,              0.0018639,              0.0018639
                      4,                 1.6058,                 1.3119,                 1.5113,                0.77739,                0.73377,                0.77625,                0.37989,                 1.5176,                 1.2312,                 1.5211,               0.001802,               0.001802,               0.001802
                      5,                  1.508,                 1.2026,                 1.4381,                0.77227,                0.74869,                0.81045,                 0.4738,                 1.4096,                   1.06,                 1.4188,               0.001736,               0.001736,               0.001736
                      6,                 1.4898,                  1.163,                 1.4554,                 0.8197,                0.73805,                0.80685,                0.47099,                 1.3872,                 1.1073,                 1.4408,                0.00167,                0.00167,                0.00167
                      7,                 1.4511,                 1.1573,                 1.4276,                0.85219,                0.74878,                0.82028,                0.49161,                 1.3909,                 1.0361,                 1.4443,               0.001604,               0.001604,               0.001604
                      8,                 1.4446,                 1.1337,                  1.425,                0.82508,                0.79638,                0.84666,                0.53244,                 1.2705,                0.90527,                 1.3807,               0.001538,               0.001538,               0.001538
                      9,                  1.421,                 1.0534,                 1.4095,                0.84316,                0.83779,                0.85718,                0.52111,                 1.3617,                0.89045,                 1.4086,               0.001472,               0.001472,               0.001472
                     10,                 1.3888,                 1.0361,                 1.3971,                0.86513,                0.77273,                0.87067,                0.52846,                 1.2845,                0.92411,                 1.3665,               0.001406,               0.001406,               0.001406
                     11,                 1.3651,                 1.0136,                 1.3984,                0.86942,                0.79221,                0.84543,                0.54365,                 1.2593,                0.85711,                 1.3561,                0.00134,                0.00134,                0.00134
                     12,                 1.3291,                0.95011,                 1.3576,                0.86996,                0.86884,                0.87717,                0.56752,                 1.2839,                 0.7745,                 1.3557,               0.001274,               0.001274,               0.001274
                     13,                 1.3409,                0.95657,                 1.3583,                0.91709,                0.86197,                 0.9001,                0.57913,                 1.2166,                0.79022,                 1.3477,               0.001208,               0.001208,               0.001208
                     14,                 1.2977,                0.92434,                 1.3384,                0.89295,                0.82468,                0.88589,                0.56893,                 1.2261,                0.84336,                 1.3169,               0.001142,               0.001142,               0.001142
                     15,                 1.2704,                 0.8853,                 1.3165,                0.92931,                0.85366,                 0.8871,                0.59909,                 1.1801,                0.72539,                 1.2904,               0.001076,               0.001076,               0.001076
                     16,                 1.2723,                0.87476,                 1.3162,                0.96409,                0.87176,                0.89555,                0.59927,                 1.2019,                0.71074,                 1.3225,                0.00101,                0.00101,                0.00101
                     17,                 1.2439,                0.84828,                  1.307,                0.89909,                0.86364,                 0.8857,                0.60981,                 1.1221,                0.67027,                 1.2636,               0.000944,               0.000944,               0.000944
                     18,                 1.2297,                0.81408,                 1.3054,                0.94286,                0.85717,                0.90577,                 0.6239,                 1.1591,                0.65458,                 1.3007,               0.000878,               0.000878,               0.000878
                     19,                 1.2337,                 0.7924,                 1.2896,                0.90369,                0.85307,                0.87817,                0.59389,                 1.1696,                0.69098,                 1.2993,               0.000812,               0.000812,               0.000812
                     20,                 1.2112,                 0.8138,                 1.2873,                0.93891,                0.87013,                0.90403,                0.62199,                 1.1911,                0.66456,                 1.2877,               0.000746,               0.000746,               0.000746
                     21,                 1.0883,                0.65803,                 1.2253,                0.92878,                0.85714,                0.90773,                0.61779,                 1.1535,                0.66093,                  1.267,                0.00068,                0.00068,                0.00068
                     22,                 1.0723,                0.60936,                 1.2193,                0.93636,                0.83766,                0.90003,                0.62779,                 1.1276,                0.62903,                 1.2532,               0.000614,               0.000614,               0.000614
                     23,                 1.0766,                0.59879,                 1.2205,                0.92895,                0.87662,                 0.8978,                0.63945,                 1.0969,                0.60202,                 1.2603,               0.000548,               0.000548,               0.000548
                     24,                 1.0299,                0.57595,                 1.1922,                0.96007,                0.82468,                0.89847,                0.63851,                 1.0941,                0.60733,                 1.2369,               0.000482,               0.000482,               0.000482
                     25,                0.99288,                0.53609,                 1.1696,                0.94805,                0.87662,                 0.9093,                0.65184,                 1.0464,                0.55466,                 1.2088,               0.000416,               0.000416,               0.000416
                     26,                0.97593,                 0.5286,                 1.1609,                0.94925,                0.85014,                0.90584,                0.63733,                 1.0515,                0.56436,                    1.2,                0.00035,                0.00035,                0.00035
                     27,                0.95531,                0.51098,                 1.1507,                0.97772,                0.85506,                0.91225,                0.65508,                 1.0271,                0.55063,                 1.1931,               0.000284,               0.000284,               0.000284
                     28,                0.94303,                0.48813,                 1.1426,                0.97274,                0.87662,                0.91688,                0.65904,                 1.0499,                0.52552,                 1.2086,               0.000218,               0.000218,               0.000218
                     29,                0.92332,                0.47462,                 1.1419,                0.96474,                0.88842,                0.91281,                0.66884,                 1.0351,                0.52377,                  1.186,               0.000152,               0.000152,               0.000152
                     30,                0.89563,                0.46543,                 1.1199,                0.96904,                0.88312,                0.91335,                0.66457,                  1.046,                0.51051,                 1.2015,                8.6e-05,                8.6e-05,                8.6e-05
